feature,count,mean,std,min,25%,50%,75%,max
"tBodyAcc-arCoeff()-X,1",10299.0,-0.11895433367772898,0.30772148256937015,-1.0,-0.36855505499999996,-0.1362064,0.13324529499999999,1.0
"tBodyAcc-arCoeff()-X,2",10299.0,0.10857370626189525,0.24713981835467913,-1.0,-0.07901749050000001,0.077528634,0.28606837500000004,1.0
"tBodyAcc-arCoeff()-X,3",10299.0,-0.035699416921329934,0.24782017417327992,-1.0,-0.18994876500000002,-0.017643952,0.13331653999999998,1.0
"tBodyAcc-arCoeff()-X,4",10299.0,0.12200019284254605,0.23204406714296477,-1.0,-0.0338599015,0.12627915,0.277675655,1.0
"tBodyAcc-arCoeff()-Y,1",10299.0,-0.02967650353718798,0.2544611721087672,-1.0,-0.22197136,-0.045486476,0.16328157999999998,1.0
"tBodyAcc-arCoeff()-Y,2",10299.0,0.03172377421723887,0.21370764449118432,-1.0,-0.129049755,0.017653777,0.18084994,1.0
"tBodyAcc-arCoeff()-Y,3",10299.0,0.15514750842419917,0.20871848246181515,-1.0,0.0289547395,0.16066055,0.28816314,1.0
"tBodyAcc-arCoeff()-Y,4",10299.0,-0.01807679208787222,0.22025683499871956,-1.0,-0.16567787,-0.018927174,0.13118997,1.0
"tBodyAcc-arCoeff()-Z,1",10299.0,0.006110339647543939,0.2817218438674168,-1.0,-0.20648467999999998,0.020697895,0.223529845,1.0
"tBodyAcc-arCoeff()-Z,2",10299.0,0.03772915408413948,0.21545602885033066,-1.0,-0.118063905,0.0099449682,0.1795907,1.0
"tBodyAcc-arCoeff()-Z,3",10299.0,0.034423733821314015,0.23685425506666916,-1.0,-0.11077049,0.045355362,0.1942897,1.0
"tBodyAcc-arCoeff()-Z,4",10299.0,-0.08266920445426518,0.2309574616268277,-1.0,-0.23953511,-0.083301422,0.074747597,1.0
"tBodyAcc-correlation()-X,Y",10299.0,-0.12030856949785669,0.35767693448924814,-1.0,-0.3616685,-0.16116717,0.0801483955,1.0
"tBodyAcc-correlation()-X,Z",10299.0,-0.19774621582879015,0.32510325380975474,-1.0,-0.408797745,-0.19175843,0.00249138445,1.0
"tBodyAcc-correlation()-Y,Z",10299.0,0.1021988640720336,0.3760487455050921,-1.0,-0.140908605,0.13557152,0.372200225,1.0
tGravityAcc-mean()-X,10299.0,0.6692262223730459,0.5154857803087409,-1.0,0.81173988,0.92179307,0.954666705,1.0
tGravityAcc-mean()-Y,10299.0,0.004038790920605176,0.3789092154213561,-1.0,-0.24294326500000002,-0.14355124,0.118904575,1.0
tGravityAcc-mean()-Z,10299.0,0.09215086002110594,0.3342701687046414,-1.0,-0.116714505,0.03680105,0.216205875,1.0
tGravityAcc-std()-X,10299.0,-0.9652071150394214,0.07771479604801086,-1.0,-0.994945455,-0.98185253,-0.9615345049999999,1.0
tGravityAcc-std()-Y,10299.0,-0.9544080266531801,0.08528662053848345,-1.0,-0.99129917,-0.97587663,-0.9464292599999999,1.0
tGravityAcc-std()-Z,10299.0,-0.9389009694240219,0.10155484765751453,-1.0,-0.986581485,-0.96654446,-0.929570375,1.0
tGravityAcc-mad()-X,10299.0,-0.9660175475933586,0.07619840749733944,-1.0,-0.9949980700000001,-0.9826169,-0.962754595,1.0
tGravityAcc-mad()-Y,10299.0,-0.9553611844639384,0.08423377599050934,-1.0,-0.991524845,-0.97664519,-0.947766375,1.0
tGravityAcc-mad()-Z,10299.0,-0.9402062773127489,0.10052137757615814,-1.0,-0.98688285,-0.96757132,-0.93150231,1.0
tGravityAcc-max()-X,10299.0,0.6090582025758909,0.5090032753352558,-1.0,0.75559723,0.8590353,0.88784553,1.0
tGravityAcc-max()-Y,10299.0,-0.010321684223344597,0.3666834886446742,-1.0,-0.249558955,-0.15094296,0.117878205,1.0
tGravityAcc-max()-Z,10299.0,0.09673933051996644,0.32961106914437227,-1.0,-0.11160978999999999,0.043028191,0.21679574,1.0
tGravityAcc-min()-X,10299.0,0.6837620464631032,0.5070515538768995,-1.0,0.81663407,0.92875175,0.966557455,1.0
tGravityAcc-min()-Y,10299.0,0.016607863441851247,0.37640436672838273,-1.0,-0.22964373,-0.12835127,0.12899106999999999,1.0
tGravityAcc-min()-Z,10299.0,0.07934927189747064,0.33673141019289915,-1.0,-0.132571625,0.022199231,0.19979536,1.0
tGravityAcc-sma(),10299.0,-0.09858708196005835,0.3919445768509297,-1.0,-0.40927634,-0.13126201,0.18839182,1.0
tGravityAcc-energy()-X,10299.0,0.44620672773354697,0.6964546113742458,-1.0,0.5209274349999999,0.79123525,0.87656702,1.0
tGravityAcc-energy()-Y,10299.0,-0.7214699085396942,0.45440866828257176,-1.0,-0.968013335,-0.90982968,-0.766759215,1.0
tGravityAcc-energy()-Z,10299.0,-0.7636092327497425,0.4240816961169682,-1.0,-0.9911014,-0.95084767,-0.78722808,1.0
tGravityAcc-iqr()-X,10299.0,-0.968239871201476,0.07178599441764862,-1.0,-0.99516078,-0.98462749,-0.965617285,1.0
tGravityAcc-iqr()-Y,10299.0,-0.9585928160131081,0.08068925688190215,-1.0,-0.992449695,-0.97946636,-0.95211208,1.0
tGravityAcc-iqr()-Z,10299.0,-0.9447759408408583,0.09604958940312458,-1.0,-0.98806533,-0.97124363,-0.938425055,1.0
tGravityAcc-entropy()-X,10299.0,-0.6747689513480292,0.3610482910898654,-1.0,-1.0,-0.76314546,-0.399608905,1.0
tGravityAcc-entropy()-Y,10299.0,-0.8667043925052278,0.28143100893470685,-1.0,-1.0,-1.0,-0.85107942,1.0
tGravityAcc-entropy()-Z,10299.0,-0.6691002433015268,0.3931548124728455,-1.0,-1.0,-0.78078356,-0.400765415,1.0
"tGravityAcc-arCoeff()-X,1",10299.0,-0.5044016519365939,0.21646955747295252,-1.0,-0.65124555,-0.51017254,-0.366706405,1.0
"tGravityAcc-arCoeff()-X,2",10299.0,0.5428865499055161,0.20979116415503968,-1.0,0.404755315,0.55522184,0.69326636,1.0
"tGravityAcc-arCoeff()-X,3",10299.0,-0.5806744586079386,0.20789553986164702,-1.0,-0.739128515,-0.59738429,-0.44025790499999995,1.0
"tGravityAcc-arCoeff()-X,4",10299.0,0.6178181937757287,0.2107345917391108,-1.0,0.47109949500000003,0.64237203,0.7845520100000001,1.0
"tGravityAcc-arCoeff()-Y,1",10299.0,-0.34361830144870664,0.2932874533455926,-1.0,-0.546067335,-0.3418082,-0.143449235,1.0
"tGravityAcc-arCoeff()-Y,2",10299.0,0.33018350263949797,0.2990261684085687,-1.0,0.127784265,0.32892156,0.5352490400000001,1.0
"tGravityAcc-arCoeff()-Y,3",10299.0,-0.36074498457230797,0.29119153814650933,-1.0,-0.5583738549999999,-0.3658633,-0.17262553,1.0
"tGravityAcc-arCoeff()-Y,4",10299.0,0.40887543529320125,0.2825667492505491,-1.0,0.230056985,0.42433139,0.60478063,1.0
"tGravityAcc-arCoeff()-Z,1",10299.0,-0.42808291230747453,0.2682604372153811,-1.0,-0.61995364,-0.42606879,-0.24867066,1.0
"tGravityAcc-arCoeff()-Z,2",10299.0,0.45336725151428586,0.2594142677065555,-1.0,0.27919820500000003,0.45011252,0.64221334,1.0
"tGravityAcc-arCoeff()-Z,3",10299.0,-0.478049652346497,0.25337848973177973,-1.0,-0.66337874,-0.47867045,-0.30675364,1.0
"tGravityAcc-arCoeff()-Z,4",10299.0,0.49948980979711427,0.24991345491304923,-1.0,0.33060200500000003,0.50524023,0.68386578,1.0
"tGravityAcc-correlation()-X,Y",10299.0,0.1756827444659802,0.6963266762778639,-1.0,-0.49016953500000005,0.36094327,0.8381025200000001,1.0
"tGravityAcc-correlation()-X,Z",10299.0,-0.10828777546379455,0.7039406699507176,-1.0,-0.80602308,-0.21741715,0.5912098050000001,1.0
"tGravityAcc-correlation()-Y,Z",10299.0,0.08484884159880378,0.7011592479723981,-1.0,-0.60900142,0.17537192,0.775993305,1.0
tBodyAccJerk-mean()-X,10299.0,0.07893812203558162,0.17611245714158325,-1.0,0.06298048149999999,0.075974845,0.091309116,1.0
tBodyAccJerk-mean()-Y,10299.0,0.007948106909002498,0.16451838762488205,-1.0,-0.018554996,0.010752703,0.0335382865,1.0
tBodyAccJerk-mean()-Z,10299.0,-0.0046746982362866575,0.15597898568795746,-1.0,-0.031552373499999994,-0.0011592989,0.024577968999999998,1.0
tBodyAccJerk-std()-X,10299.0,-0.6397810207341296,0.4087118164475015,-1.0,-0.9912719249999999,-0.95130285,-0.29120268,1.0
tBodyAccJerk-std()-Y,10299.0,-0.6079715993408316,0.4328844611140098,-1.0,-0.9850068750000001,-0.92504404,-0.22177298499999998,1.0
tBodyAccJerk-std()-Z,10299.0,-0.7628202404492018,0.27790138884156357,-1.0,-0.989195665,-0.95427861,-0.54848816,1.0
tBodyAccJerk-mad()-X,10299.0,-0.6368518323340407,0.4136038997531977,-1.0,-0.991289775,-0.95778821,-0.28028580000000003,1.0
tBodyAccJerk-mad()-Y,10299.0,-0.5940464366740036,0.44613473981224877,-1.0,-0.983308745,-0.926473,-0.189151865,1.0
tBodyAccJerk-mad()-Z,10299.0,-0.7565117055048957,0.28363223030518353,-1.0,-0.987964075,-0.95478169,-0.53573016,1.0
tBodyAccJerk-max()-X,10299.0,-0.6996257273653975,0.3598684030412659,-1.0,-0.991605595,-0.94467653,-0.46081568,1.0
tBodyAccJerk-max()-Y,10299.0,-0.7478335954695825,0.2936693449056029,-1.0,-0.990052285,-0.94111263,-0.535105515,1.0
tBodyAccJerk-max()-Z,10299.0,-0.8187223178369356,0.22399315270408435,-1.0,-0.98984542,-0.95635748,-0.68296071,1.0
tBodyAccJerk-min()-X,10299.0,0.6160343938908457,0.435520561878772,-1.0,0.25307974,0.9377196,0.98962649,1.0
tBodyAccJerk-min()-Y,10299.0,0.6848701594570755,0.35903882891691247,-1.0,0.40173598,0.93111294,0.9886138099999999,1.0
tBodyAccJerk-min()-Z,10299.0,0.7395882417087833,0.3064615941972937,-1.0,0.528700905,0.94038059,0.9866581999999999,1.0
tBodyAccJerk-sma(),10299.0,-0.6469912758379396,0.3927093992890696,-1.0,-0.9897607900000001,-0.9477853,-0.29087379,1.0
tBodyAccJerk-energy()-X,10299.0,-0.850337515970628,0.2147809374969116,-1.0,-0.999902405,-0.99848979,-0.74596439,1.0
tBodyAccJerk-energy()-Y,10299.0,-0.8272543618550152,0.2430411278006841,-1.0,-0.99974368,-0.99646315,-0.692420875,1.0
tBodyAccJerk-energy()-Z,10299.0,-0.9307102031901727,0.11793219631604597,-1.0,-0.999782265,-0.99826658,-0.892831335,1.0
tBodyAccJerk-iqr()-X,10299.0,-0.6274897072253687,0.4296266900129617,-1.0,-0.9898630850000001,-0.96344994,-0.265698455,1.0
tBodyAccJerk-iqr()-Y,10299.0,-0.6598328556785135,0.3750570696299548,-1.0,-0.98364481,-0.94341986,-0.32948095499999996,1.0
tBodyAccJerk-iqr()-Z,10299.0,-0.7708337568774268,0.26629377873855253,-1.0,-0.986316215,-0.95830968,-0.57569299,1.0
tBodyAccJerk-entropy()-X,10299.0,-0.08260693591826584,0.6526654662259718,-1.0,-0.7297566,-0.33769649,0.5994448,1.0
tBodyAccJerk-entropy()-Y,10299.0,-0.08788252413794544,0.6321200567529867,-1.0,-0.72626592,-0.28416062,0.56779408,1.0
tBodyAccJerk-entropy()-Z,10299.0,-0.12733054454823187,0.6074604598024207,-1.0,-0.72109451,-0.39352432,0.49406316,1.0
"tBodyAccJerk-arCoeff()-X,1",10299.0,-0.1085728632678432,0.30357977035989575,-1.0,-0.35982176,-0.11593372,0.14425198,1.0
"tBodyAccJerk-arCoeff()-X,2",10299.0,0.1696590309815253,0.19241962546143807,-1.0,0.0488886335,0.1728909,0.29158976999999997,1.0
"tBodyAccJerk-arCoeff()-X,3",10299.0,0.06760443973610478,0.24145294045135968,-1.0,-0.0877961865,0.077244815,0.234257625,1.0
"tBodyAccJerk-arCoeff()-X,4",10299.0,0.12646782804741769,0.1959630550051213,-1.0,-0.00360064,0.13477066,0.26355922499999995,1.0
"tBodyAccJerk-arCoeff()-Y,1",10299.0,-0.07271780620144577,0.2681783181086276,-1.0,-0.27655764,-0.085782845,0.139922855,1.0
"tBodyAccJerk-arCoeff()-Y,2",10299.0,0.06869447417499136,0.21785817491709406,-1.0,-0.0650206055,0.066983384,0.20732393500000001,1.0
"tBodyAccJerk-arCoeff()-Y,3",10299.0,0.17452785989312727,0.23778665073157754,-1.0,0.022524205,0.18645641,0.339258565,1.0
"tBodyAccJerk-arCoeff()-Y,4",10299.0,0.31431581622430044,0.2025390584184904,-1.0,0.185230925,0.31854615,0.452056525,1.0
"tBodyAccJerk-arCoeff()-Z,1",10299.0,-0.03269172413502855,0.2717745951780896,-1.0,-0.237402745,-0.013461974,0.18012964,1.0
"tBodyAccJerk-arCoeff()-Z,2",10299.0,0.08868428498229246,0.19658176934221194,-1.0,-0.035613015,0.087415187,0.21251094999999998,1.0
"tBodyAccJerk-arCoeff()-Z,3",10299.0,-0.0010386868834405477,0.22418407544033797,-1.0,-0.143298735,0.013299483,0.158160835,1.0
"tBodyAccJerk-arCoeff()-Z,4",10299.0,0.13847114871739624,0.23958944177360197,-1.0,-0.015513754000000001,0.15024341,0.30011775500000004,1.0
"tBodyAccJerk-correlation()-X,Y",10299.0,-0.1381229928055287,0.25766898437924407,-1.0,-0.30988501,-0.13898292,0.028736721,1.0
"tBodyAccJerk-correlation()-X,Z",10299.0,0.0030253043989315435,0.2930811465123128,-1.0,-0.198658395,0.013306914,0.206962115,1.0
"tBodyAccJerk-correlation()-Y,Z",10299.0,0.08031712812901554,0.27720328179345904,-1.0,-0.102465835,0.076106276,0.263355605,1.0
tBodyGyro-mean()-X,10299.0,-0.030982487171343567,0.18318608628864702,-1.0,-0.045787107,-0.027762646,-0.010576503,1.0
tBodyGyro-mean()-Y,10299.0,-0.07471948559943586,0.13431713229944853,-1.0,-0.10399034,-0.074767602,-0.0510963965,1.0
tBodyGyro-mean()-Z,10299.0,0.08835730422717299,0.13487525632488312,-1.0,0.0648460705,0.086261317,0.11043857,1.0
tBodyGyro-std()-X,10299.0,-0.7211925980297893,0.30102707267610657,-1.0,-0.987190665,-0.90159356,-0.48222822,1.0
tBodyGyro-std()-Y,10299.0,-0.6826535068999418,0.356884535690522,-1.0,-0.98189823,-0.9105644,-0.44608838,1.0
tBodyGyro-std()-Z,10299.0,-0.6536656743721876,0.3726060804079075,-1.0,-0.985008215,-0.88192059,-0.33789777,1.0
tBodyGyro-mad()-X,10299.0,-0.7264848368485387,0.2976450336070443,-1.0,-0.98805588,-0.90759233,-0.49179603,1.0
tBodyGyro-mad()-Y,10299.0,-0.6945341100963036,0.3444069995972973,-1.0,-0.9829949149999999,-0.91940821,-0.464025805,1.0
tBodyGyro-mad()-Z,10299.0,-0.6672097481077638,0.36179346283317504,-1.0,-0.985913765,-0.88870328,-0.36348106,1.0
tBodyGyro-max()-X,10299.0,-0.6454852744965802,0.27642978446098615,-1.0,-0.87782815,-0.79476199,-0.43674256499999997,1.0
tBodyGyro-max()-Y,10299.0,-0.7379773121897293,0.26615147244787574,-1.0,-0.9473207050000001,-0.89006192,-0.5797709,1.0
tBodyGyro-max()-Z,10299.0,-0.48418869311512375,0.30312628325626917,-1.0,-0.7494388599999999,-0.64508833,-0.25661985499999995,1.0
tBodyGyro-min()-X,10299.0,0.6322636590955725,0.2511949724970144,-1.0,0.46281092,0.77062897,0.83801443,1.0
tBodyGyro-min()-Y,10299.0,0.7342580666621517,0.21160752334265612,-1.0,0.60356881,0.85276561,0.9058407049999999,1.0
tBodyGyro-min()-Z,10299.0,0.5592477782131682,0.3079425626262759,-1.0,0.32291552,0.74182184,0.82274418,1.0
tBodyGyro-sma(),10299.0,-0.6027486731255586,0.4021057894421661,-1.0,-0.9785275250000001,-0.82040882,-0.239310495,1.0
tBodyGyro-energy()-X,10299.0,-0.9016369570623264,0.14269268611033056,-1.0,-0.9998758,-0.99028636,-0.836839825,1.0
tBodyGyro-energy()-Y,10299.0,-0.8842354501884551,0.19026577600403458,-1.0,-0.999743915,-0.99246076,-0.84172706,1.0
tBodyGyro-energy()-Z,10299.0,-0.8729843682424216,0.19019956684605938,-1.0,-0.999749735,-0.98101086,-0.788184545,1.0
tBodyGyro-iqr()-X,10299.0,-0.729225040963895,0.30220092536193993,-1.0,-0.9896648349999999,-0.91867982,-0.500896945,1.0
tBodyGyro-iqr()-Y,10299.0,-0.7172026606986539,0.32527601657914296,-1.0,-0.9855852650000001,-0.93248475,-0.50585605,1.0
tBodyGyro-iqr()-Z,10299.0,-0.7202394793007885,0.31630880441531184,-1.0,-0.98908788,-0.9073315,-0.47454273999999996,1.0
tBodyGyro-entropy()-X,10299.0,-0.14491660080516308,0.4545117810805643,-1.0,-0.50812009,-0.17584412,0.18898616499999998,1.0
tBodyGyro-entropy()-Y,10299.0,-0.09924859378609312,0.3705117636041764,-1.0,-0.354711775,-0.064246633,0.178955055,1.0
tBodyGyro-entropy()-Z,10299.0,-0.06325428953917663,0.45604867467757765,-1.0,-0.464702565,0.032855013,0.308896,1.0
"tBodyGyro-arCoeff()-X,1",10299.0,-0.22286186734897465,0.2764960910503767,-1.0,-0.424568835,-0.24352123,-0.02796272,1.0
"tBodyGyro-arCoeff()-X,2",10299.0,0.14773919826739323,0.22700403073635061,-1.0,-0.018522088,0.14145716,0.30224237,1.0
"tBodyGyro-arCoeff()-X,3",10299.0,0.1284971505201946,0.22932974143931464,-1.0,-0.0147313055,0.14269684,0.282473675,1.0
"tBodyGyro-arCoeff()-X,4",10299.0,-0.08030581867369783,0.2408018773632413,-1.0,-0.24372612,-0.078041594,0.0806064415,1.0
"tBodyGyro-arCoeff()-Y,1",10299.0,-0.20478615764430935,0.20865020585549357,-1.0,-0.34866765,-0.21033899,-0.064484563,1.0
"tBodyGyro-arCoeff()-Y,2",10299.0,0.1696784042446051,0.19165871504096668,-1.0,0.0365221125,0.16459533,0.29933012000000003,1.0
"tBodyGyro-arCoeff()-Y,3",10299.0,-0.04246134269906768,0.22843308011018362,-1.0,-0.18877644,-0.03930296,0.11158301500000001,1.0
"tBodyGyro-arCoeff()-Y,4",10299.0,0.14169829754286795,0.21728760812404455,-1.0,0.0005374382750000001,0.14471642,0.29007006999999996,1.0
"tBodyGyro-arCoeff()-Z,1",10299.0,-0.08509850317211604,0.3128051424701089,-1.0,-0.33545073999999997,-0.10245699,0.162610425,1.0
"tBodyGyro-arCoeff()-Z,2",10299.0,0.06673018609274638,0.2822668201456492,-1.0,-0.16668116,0.064190273,0.290448635,1.0
"tBodyGyro-arCoeff()-Z,3",10299.0,-0.007923752493145841,0.2676745314958157,-1.0,-0.195456395,0.011390932,0.187483085,1.0
"tBodyGyro-arCoeff()-Z,4",10299.0,0.14641913122067918,0.258314094052369,-1.0,-0.0318899125,0.14714662,0.321565235,1.0
"tBodyGyro-correlation()-X,Y",10299.0,-0.16933566334686814,0.3821951778702009,-1.0,-0.443856275,-0.17932302,0.085847641,1.0
"tBodyGyro-correlation()-X,Z",10299.0,0.01434617207084455,0.38647810652248693,-1.0,-0.239278055,-0.0080255235,0.25951717,1.0
"tBodyGyro-correlation()-Y,Z",10299.0,-0.10569303596799544,0.4176060099208072,-1.0,-0.411379375,-0.09385116,0.188571895,1.0
tBodyGyroJerk-mean()-X,10299.0,-0.09670927547296825,0.12813495819028833,-1.0,-0.117232615,-0.09824338,-0.079304,1.0
tBodyGyroJerk-mean()-Y,10299.0,-0.04231810797826323,0.11440917556358524,-1.0,-0.0586814845,-0.040556805,-0.025210938000000002,1.0
tBodyGyroJerk-mean()-Z,10299.0,-0.05483034979683737,0.12889560784934026,-1.0,-0.0793580545,-0.054554317,-0.0316826445,1.0
tBodyGyroJerk-std()-X,10299.0,-0.7313485331319352,0.3038158989026294,-1.0,-0.99072564,-0.93480864,-0.48653805,1.0
tBodyGyroJerk-std()-Y,10299.0,-0.7860623203218953,0.2727156807919523,-1.0,-0.992234135,-0.95478851,-0.62679006,1.0
tBodyGyroJerk-std()-Z,10299.0,-0.7399323952221293,0.3019941768944375,-1.0,-0.992567455,-0.95031422,-0.50971305,1.0
tBodyGyroJerk-mad()-X,10299.0,-0.7300026641534945,0.3065597959844821,-1.0,-0.990934245,-0.94267766,-0.477884925,1.0
tBodyGyroJerk-mad()-Y,10299.0,-0.7965785187313545,0.25772562348246436,-1.0,-0.9927156399999999,-0.96225913,-0.640001925,1.0
tBodyGyroJerk-mad()-Z,10299.0,-0.7466370069961259,0.2929273357110682,-1.0,-0.9928301,-0.95792889,-0.513304965,1.0
tBodyGyroJerk-max()-X,10299.0,-0.7472654276898437,0.2909490572412489,-1.0,-0.99035983,-0.9265597,-0.53729584,1.0
tBodyGyroJerk-max()-Y,10299.0,-0.8099083259630607,0.2532739610935591,-1.0,-0.992839415,-0.95273659,-0.686210275,1.0
tBodyGyroJerk-max()-Z,10299.0,-0.7426891513049141,0.3058558502840755,-1.0,-0.99086449,-0.93743501,-0.531748805,1.0
tBodyGyroJerk-min()-X,10299.0,0.7605916177456316,0.279510466890763,-1.0,0.56582438,0.93172118,0.990570485,1.0
tBodyGyroJerk-min()-Y,10299.0,0.8302754926187396,0.22797162614281113,-1.0,0.72093469,0.95855941,0.993699925,1.0
tBodyGyroJerk-min()-Z,10299.0,0.7994247792078357,0.2478870326785169,-1.0,0.64387708,0.95565462,0.9938002800000001,1.0
tBodyGyroJerk-sma(),10299.0,-0.766813796605217,0.2692577034780793,-1.0,-0.9926019500000001,-0.95734709,-0.55438281,1.0
tBodyGyroJerk-energy()-X,10299.0,-0.9169343488942228,0.13300855696558112,-1.0,-0.99991958,-0.99761853,-0.8665387600000001,1.0
tBodyGyroJerk-energy()-Y,10299.0,-0.9395451158883775,0.13213971452088094,-1.0,-0.99995057,-0.99886921,-0.9296066000000001,1.0
tBodyGyroJerk-energy()-Z,10299.0,-0.9195018775659384,0.13413985645055285,-1.0,-0.9999285,-0.99847009,-0.87764179,1.0
tBodyGyroJerk-iqr()-X,10299.0,-0.7375401211535771,0.30189996012632997,-1.0,-0.991402055,-0.95344761,-0.49301541000000004,1.0
tBodyGyroJerk-iqr()-Y,10299.0,-0.8087637171763083,0.2422473142073692,-1.0,-0.9931956449999999,-0.96984903,-0.659596065,1.0
tBodyGyroJerk-iqr()-Z,10299.0,-0.7663497150877512,0.27144386620710703,-1.0,-0.993175245,-0.96702841,-0.54805999,1.0
tBodyGyroJerk-entropy()-X,10299.0,-0.015190658579531025,0.5648532874574013,-1.0,-0.574637525,-0.033938128,0.543728505,1.0
tBodyGyroJerk-entropy()-Y,10299.0,0.018668943288007576,0.5443199191281723,-1.0,-0.509004365,-0.0023808781,0.55173659,1.0
tBodyGyroJerk-entropy()-Z,10299.0,-0.015112306217690061,0.5807363732623703,-1.0,-0.60549794,-0.13207763,0.572923665,1.0
"tBodyGyroJerk-arCoeff()-X,1",10299.0,-0.07247639363441498,0.25022238835996846,-1.0,-0.25044146,-0.089776658,0.0969838425,1.0
"tBodyGyroJerk-arCoeff()-X,2",10299.0,0.040918592943813746,0.18570723179261203,-1.0,-0.0774041335,0.040179384,0.15581609000000002,1.0
"tBodyGyroJerk-arCoeff()-X,3",10299.0,0.1596668729223379,0.21154149758501772,-1.0,0.0246925375,0.16501237,0.302808825,1.0
"tBodyGyroJerk-arCoeff()-X,4",10299.0,0.16473100084558057,0.2111243635922276,-1.0,0.029606701,0.17146651,0.307501455,1.0
"tBodyGyroJerk-arCoeff()-Y,1",10299.0,-0.1623644940800835,0.21435487419393964,-1.0,-0.316246315,-0.16887414,-0.0214051205,1.0
"tBodyGyroJerk-arCoeff()-Y,2",10299.0,0.20017494031797525,0.16705097916226003,-1.0,0.0968909525,0.20044091,0.300700065,1.0
"tBodyGyroJerk-arCoeff()-Y,3",10299.0,0.08352835762702543,0.19710565014392029,-1.0,-0.0427208205,0.090339795,0.216062005,1.0
"tBodyGyroJerk-arCoeff()-Y,4",10299.0,0.08024924058430083,0.24504259781874163,-1.0,-0.07910022850000001,0.082635398,0.24745094,1.0
"tBodyGyroJerk-arCoeff()-Z,1",10299.0,-0.028653693357533174,0.3432261736239001,-1.0,-0.308965905,-0.05945309,0.24831699499999998,1.0
"tBodyGyroJerk-arCoeff()-Z,2",10299.0,0.052383068816264,0.23234618362801535,-1.0,-0.108063015,0.043276051,0.211793265,1.0
